Производитель,ПР,Матовый,Шёлковый,Многоцветный,Градиентный,С вкраплениями,Под металл,Под дерево,Светящийся,Другое
Bambu Lab,9.3,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-pla-matte-charcoal-11101-bambu-lab-bez-katushki-1783825791){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/filament-pla-silk-pink-bambu-lab-rozovyy-plastik-1-kg-s-katushkoy-3188822944/){ target=""_blank"" }",-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-pla-silk-multi-color-aurora-purple-13909-1kg-na-katushke-2940799447){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-sparkle-plastik-bambu-lab-dlya-3d-printera-1-75-mm-chernyy-blestyashchiy-1-kg-13101-3138166724/ ""PLA Sparkle""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-marble-plastik-s-katushkoy-dlya-3d-printera-bambu-lab-white-marble-belyy-mramor-13103-2011255216 ""PLA Marble""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-galaxy-plastik-bambu-lab-dlya-3d-printera-1-75-mm-korichnevyy-1-kg-2243866196 ""PLA Galaxy""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-metal-plastik-bambu-lab-dlya-3d-printera-1-75-mm-zelenyy-oksid-1-kg-13500-3117337390/ ""PLA Metal""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-pla-wood-white-oak-13106-bambu-lab-na-katushke-1910020879/){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-pla-glow-green-15500-bambu-lab-na-katushke-1700482113/){ target=""_blank"" }",-
Elegoo / Deeplee,9.3,"[:material-shopping:](https://alli.pub/7ajx45?erid=2SDnjcBaeAb ""PLA Matte""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx54?erid=2SDnjcQvXhh ""PLA Silk""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx54?erid=2SDnjcQvXhh ""PLA Silk""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajx54?erid=2SDnjcQvXhh ""PLA Galaxy""){ target=""_blank"" }",-,-,-,-
Eryone,9.1,"[:material-shopping:](https://alli.pub/7ajx7g?erid=2SDnjd3zDkK ""PLA Matte""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx8m?erid=2SDnjdZdyPD ""PLA Silk""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx6o?erid=2SDnjcu6J4F ""PLA Silk 2-color""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajx79?erid=2SDnjd2WETy ""PLA Silk 3-color""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx8t?erid=2SDnjde5wEF ""PLA Matte gradient""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajx97?erid=2SDnjdmVsdy ""PLA Silk Twist""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajx6a?erid=2SDnjciiP5q ""PLA HS Matte rock""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx7u?erid=2SDnjdMn58T ""PLA Marble""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajx9e?erid=2SDnjdqwqV1 ""PLA Burnt Titanium""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajx9z?erid=2SDnjdwsncP ""PLA Hyper Burn""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajx7n?erid=2SDnjd9vAsh ""PLA Wood""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajx88?erid=2SDnjdTi2Fq ""PLA Glow""){ target=""_blank"" }",-
ESUN,8.9,"[:material-shopping:](https://alli.pub/7ajxbc?erid=2SDnjeZTVNf ""PLA Matte""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajxg7?erid=2SDnjceGkij ""PLA Matte 2-color""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxlg?erid=2SDnjdmWD7u ""Silk candy PLA""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxeg?erid=2SDnjcJzv4F ""PLA Silk 2-color""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajxar?erid=2SDnjeJdcZD ""PLA Rock""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxff?erid=2SDnjcVNq2f ""PLA Rainbow""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajxd3?erid=2SDnjbxF67R ""PLA Magic""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxen?erid=2SDnjcPSsuH ""PLA Chameleon""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxln?erid=2SDnjdvQ8oy ""Marble PLA""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajxg0?erid=2SDnjcZpnsh ""PLA Metal Silk""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajxkh?erid=2SDnjdccHRq ""Glow in dark PLA""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ajxm8?erid=2SDnjdzr6f1 ""eStars PLA""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajxgs?erid=2SDnjcmgh8T ""UV color change PLA""){ target=""_blank"" }"
SUNLU,8.8,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-plastik-dlya-3d-printera-sunlu-1kg-matovyy-sero-goluboy-matte-powder-blue-pla-1774723448/ ""PLA Matte""){ target=""_blank""}","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/sunlu-pla-silk-krasnaya-plastik-dlya-3d-printera-1kg-red-pla-1777223959/ ""PLA+ Silk""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/sunlu-pla-silk-tri-color-krasnyy-zheltyy-zelenyy-plastik-dlya-3d-printera-1kg-red-yellow-green-pla-1777223980/ ""PLA+ Silk 3-color""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-plastik-dlya-3d-printera-sunlu-1kg-silk-raduzhnyy-rainbow-04-pla-1777223950/ ""PLA Rainbow""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajybw?erid=2SDnjcYMp39 ""PLA Silk Copper""){ target=""_blank"" }",-,-,-
FDPlast,8.8,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=15 ""PLA Silk""){ target=""_blank"" }",-,-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9125/ ""PLA Алюминий""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9127/ ""PLA Бронза""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9128/ ""PLA Латунь""){ target=""_blank"" }<br>[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9126/ ""PLA Медь""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9130/ ""PLA Сталь""){ target=""_blank"" }","[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9129/ ""PLA Дерево""){ target=""_blank"" }","[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=36 ""PLA Lumi""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=36 ""PETG Lumi""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=36 ""SBS Lumi""){ target=""_blank"" }","[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9105/ ""ABS Мрамор""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9109/ ""ABS Керамика""){ target=""_blank"" }"
FusRock,8.8,"[:material-shopping:](https://alli.pub/7ak5oc?erid=2SDnjdbLixw ""PETG Matte""){ target=""_blank"" }",-,-,-,-,-,-,-,-
KINGROON,8.7,"[:material-shopping:](https://alli.pub/7ak024?erid=2SDnjeLAdAw ""PLA Matte""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak04n?erid=2SDnjboQBkj ""PLA Silk""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak05m?erid=2SDnjc2k5Hq ""PLA Silk 3-color""){ target=""_blank"" }","[:material-shopping:](https://ali.click/s61tz6?erid=2SDnjemhsXP ""PLA Rainbow""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak060?erid=2SDnjcBdzyu ""PETG Shining""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak06s?erid=2SDnjcLXvfy ""PLA Chameleon""){ target=""_blank"" }",-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pla-glow-in-dark-plastik-kingroon-fioletovyy-1-75mm-1kg-3340940317/ ""PLA Glow in dark""){ target=""_blank"" }",-
Creality,8.3,[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/filament-creality-cr-pla-matte-pla-3d-printing-1-75mm-zelenyy-avokado-avocado-green-1-kg-1206803639/){target=""_blank""},[:material-shopping:](https://ali.click/g91tz4?erid=2SDnjbw9aj3){target=""_blank""},"[:material-shopping:](https://ali.click/481tz9?erid=2SDnjf13m4V ""PLA Silk 2-color""){ target=""_blank"" }","[:material-shopping:](https://ali.click/oa1tzk?erid=2SDnjcAVUG9 ""PLA Rainbow""){ target=""_blank"" }",[:material-shopping:](https://ali.click/qe1tzp?erid=2SDnjcg9Du3 ""PLA Stardust""){target=""_blank""},-,-,[:material-shopping:](https://ali.click/qh1tzy?erid=2SDnjd8pzyF ""PLA Luminous""){target=""_blank""},-
Anycubic,8.2,"[:material-shopping:](https://alli.pub/7ak0b9?erid=2SDnjdyR8i3 ""PLA Matte""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ak0aa?erid=2SDnjdbBKUs ""PLA Silk 2-color""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak0ao?erid=2SDnjdmZETH ""PLA Silk 3-color""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ak09b?erid=2SDnjdLMSfR ""PLA Galaxy""){ target=""_blank"" } [:material-shopping:](https://ali.click/pf1tz3?erid=2SDnjct189o ""PLA Marble""){target=""_blank""}",-,-,-,-
3D-Club,8.2,-,-,-,-,-,-,-,"[:material-web:](https://3d-club.ru/product/pet-g-orange-flur/ ""PETG Флуоресцентный""){ target=""_blank"" }",-
Geeetech,8.1,-,"[:material-shopping:](https://alli.pub/7ak0f5?erid=2SDnjesJha7 ""PLA Silk""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0hh?erid=2SDnjc4EQ47 ""PLA Silk 2-color""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0j1?erid=2SDnjcTxCZd ""PLA Silk Gradient""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0in?erid=2SDnjcQzDzw ""PLA Marble""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak0jf?erid=2SDnjcYQAQf ""PLA Sparkly""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0f5?erid=2SDnjesJha7 ""PLA Silk Silver""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak0f5?erid=2SDnjesJha7 ""PLA Silk Copper""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak0f5?erid=2SDnjesJha7 ""PLA Silk Gold""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0i9?erid=2SDnjcEcK2X ""PLA Wood""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak0k7?erid=2SDnjcfp6pP ""PLA Glow""){ target=""_blank"" }",-
