 ,PLA,PETG,ABS,ASA,HIPS,PC,PA12,PA11,PA6 / PA6.6,PP,SBS,PVA,PET,SAN,POM,PBT,POK,PMMA
ATECO,-,-,-,-,-,-,-,-,-,,-,-,https://shop.ateco.ru/catalog,-,-,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=15,-,-
FDPlast,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=15,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=32,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=14,-,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=16,-,-,-,-,-,https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=25,-,-,-,-,-,-,-
Eryone,https://alli.pub/7207j1?erid=2SDnjf2E6sc,https://alli.pub/7207jm?erid=2SDnjc2mtPC,https://alli.pub/7207jt?erid=2SDnjcD9oMc,https://alli.pub/7207jt?erid=2SDnjcD9oMc,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ESUN,https://alli.pub/7207mx?erid=2SDnjdLPFkn,https://alli.pub/7207ni?erid=2SDnjdQqDbp,https://alli.pub/7207np?erid=2SDnjdSKCtA,https://alli.pub/7207o3?erid=2SDnjdWmAjC,-,-,https://alli.pub/7207p9?erid=2SDnjdtzyxN,-,https://alli.pub/7207pg?erid=2SDnjdvUyEi,-,-,https://alli.pub/7207oo?erid=2SDnjdff6RG,-,-,-,-,-,-
3D-Club,https://3d-club.ru/product-category/filament/pla/,https://3d-club.ru/product-category/filament/petg/,https://3d-club.ru/product-category/filament/abs/,-,https://3d-club.ru/product-category/filament/hips/,-,-,-,https://3d-club.ru/product-category/filament/nylon/,https://3d-club.ru/product/pp-filament-polipropilen/,-,https://3d-club.ru/product/pva-filament/,-,-,https://3d-club.ru/product/pom-filament-pom/,https://3d-club.ru/product/pbt-filament/,-,-
CYBERFIBER,https://shop.ateco.ru/catalog/section/77,https://shop.ateco.ru/catalog/section/77,https://shop.ateco.ru/catalog/section/77,-,-,-,https://shop.ateco.ru/catalog/section/77,https://shop.ateco.ru/catalog/section/77,https://shop.ateco.ru/catalog/section/77,-,-,-,-,-,-,-,https://shop.ateco.ru/catalog/section/77,-
Novaprint,-,-,-,-,-,-,-,-,-,https://novaprint3d.ru/nova_ppgf#!/tproduct/254698105-1640338073245,-,-,-,-,-,-,-,-
SUNLU,https://alli.pub/720gz4?erid=2SDnjdmoor2,https://alli.pub/720gzw?erid=2SDnjeQsVte,https://alli.pub/720h0a?erid=2SDnjeeDPRk,https://alli.pub/720h0v?erid=2SDnjeu3GFC,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bambu Lab,https://eu.store.bambulab.com/en-nl/collections/bambu-lab-3d-printer-filament/products/pla-basic-filament,https://eu.store.bambulab.com/en-nl/collections/petg/products/petg-hf,https://eu.store.bambulab.com/collections/asa-abs/products/abs-filament,https://eu.store.bambulab.com/collections/asa-abs/products/asa-filament,-,https://eu.store.bambulab.com/collections/pc-tpu/products/pc-filament,-,-,-,-,-,-,-,-,-,-,-,-
Creality,https://alli.pub/720jgd?erid=2SDnjdius4W,https://alli.pub/720jgy?erid=2SDnjdxFkbc,https://alli.pub/720jib?erid=2SDnjeK1aYS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Filamentarno,https://www.filamentarno.ru/catalog.html#f3,https://www.filamentarno.ru/catalog.html#f3,https://www.filamentarno.ru/catalog.html#f3,-,-,-,https://www.filamentarno.ru/catalog.html#f3,-,-,-,-,-,-,https://www.filamentarno.ru/catalog.html#f3,-,-,-,-
Bestfilament,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=140,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=300,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=141,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=298,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=143,-,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=307,-,-,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=1435,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=142,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=305,-,-,https://bestfilament.ru/category/plastik-Bestfilament/?tipa_materiala[]=721,-,-,-
ABS Maker,https://absmaker.ru/category/pla-3,https://absmaker.ru/category/petg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Print Product,https://printproduct3d.ru/categories/pla-geo-printproduct,https://printproduct3d.ru/categories/pet-gun-pet-g-printproduct,https://printproduct3d.ru/categories/abs-plastiki-printproduct,https://printproduct3d.ru/categories/asa-plastik-printproduct,-,-,-,-,-,-,https://printproduct3d.ru/categories/sbs-plastiki-printproduct,-,-,-,-,-,-,-
Syntech,https://syntechlab.ru/store/pla/,https://syntechlab.ru/store/pet-g/,https://syntechlab.ru/store/abs/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
U3Print,https://u3print.com/plastik-dlya-3d-printera/pla/,https://u3print.com/plastik-dlya-3d-printera/petg/,https://u3print.com/plastik-dlya-3d-printera/abs/,-,-,-,https://u3print.com/plastik-dlya-3d-printera/u3-nylon-super,-,-,-,-,https://u3print.com/plastik-dlya-3d-printera/type/pva-vodorastvorimyj,https://u3print.com/plastik-dlya-3d-printera/type/terylene,-,-,-,-,-
Anycubic,https://alli.pub/720l9b?erid=2SDnjeBfLRx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rec,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=38,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=42,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=6,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=44,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=39,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=686,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=816,-,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=815,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=371,-,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=47,-,-,-,-,-,https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=45
Hi Tech Plast,https://h-t-p.ru/pla,https://h-t-p.ru/petg,https://h-t-p.ru/abs-all,https://h-t-p.ru/asa,https://h-t-p.ru/hips,-,-,-,-,-,-,-,https://h-t-p.ru/pet-htp,-,-,-,https://h-t-p.ru/pok,-
KINGROON,https://alli.pub/720lhv?erid=2SDnjdpvBSz,https://alli.pub/720lig?erid=2SDnjeBg1Pp,https://alli.pub/720liu?erid=2SDnjeTysVc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
