Производитель,ПР,Шор D 30<br>Шор А 75,Шор D 35<br>Шор А 85,Шор D 40<br>Шор А 90,Шор D 46<br>Шор А 95,Шор D 52<br>Шор А 98,Шор D 60<br>-,Шор D 70+<br>-,Aero/LW<br>(переменная твёрдость)
Bambu Lab,9.3,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-bambu-lab-tpu-85a-light-cyan-51500-na-katushke-2031614296/ ""Ozon""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-tpu-90a-plastika-bambu-lab-1-75-mm-1kg-morozno-goluboy-2615338280/ ""Ozon""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-bambu-lab-tpu-95a-hf-white-51102-na-katushke-1671957376/ ""Ozon""){ target=""_blank"" }",-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-tpu-ams-plastika-bambu-lab-1-75-mm-1kg-belyy-2770084840/ ""Ozon<br>TPU for AMS""){ target=""_blank"" }",-
Elegoo / Deeplee,9.3,-,-,-,"[:material-shopping:](https://alli.pub/7akdrt?erid=2SDnjcDVV5q ""AliExpress""){ target=""_blank"" }",-,-,-,-
Eryone,9.1,-,"[:material-shopping:](https://ali.click/nbjtz7?erid=2SDnjeX459s ""AliExpress""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akdtr?erid=2SDnjcgBGA3 ""AliExpress""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akdsl?erid=2SDnjcNPQmu ""AliExpress<br>TPU A95""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7akdsz?erid=2SDnjcVoMBd ""AliExpress<br>TPU HS 95A""){ target=""_blank"" }",-,-,-,-
ESUN,8.9,-,-,-,"[:material-shopping:](https://alli.pub/7ake4u?erid=2SDnjdeX8M5 ""AliExpress""){ target=""_blank"" }",-,-,-,"[:material-shopping:](https://ali.click/adjtzs?erid=2SDnjekPxgy ""AliExpress<br>A77-A93""){ target=""""_blank"""" }"
SUNLU,8.8,-,-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-tpu-dlya-3d-pechati-na-razbornoy-katushke-tpu-sunlu-1kg-belyy-white-tpu-2483690095/ ""Ozon""){ target=""_blank"" }",-,-,-,-
FDPlast,8.8,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9088/ ""sopytka.ru""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/fdplast-tpu-75-lednikovyy-period-tsvet-belyy-1-75-mm-1-kg-art-6767-plastik-dlya-3d-printera-dlya-2844145914/ ""Ozon""){ target=""_blank"" }",-,-,-,-,-,-,-
FusRock,8.8,-,"[:material-shopping:](https://alli.pub/7ake8q?erid=2SDnjbxgHEF ""AliExpress""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/premium-plastik-tpu-85a-dlya-3d-printera-belyy-1kg-fusrock-1696936243/ ""Ozon""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ake94?erid=2SDnjc94CCf ""AliExpress""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/premium-plastik-tpu-95a-dlya-3d-printera-chernyy-1kg-fusrock-1696616771/ ""Ozon""){ target=""_blank"" }",-,-,"[:material-shopping:](https://alli.pub/7ake7r?erid=2SDnjf44Sr3 ""AliExpress<br>TPU 78D""){ target=""_blank"" }","[:material-shopping:](https://ali.click/ofjtzp?erid=2SDnjf2hpnm ""AliExpress<br>A65-A85""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/premium-plastik-tpu-aero-dlya-3d-printera-belyy-0-5kg-fusrock-2560268090/ ""Ozon<br>A65-A85""){ target=""_blank"" }"
KINGROON,8.7,-,-,-,"[:material-shopping:](https://alli.pub/7akeah?erid=2SDnjcj9ugb ""AliExpress""){ target=""_blank"" }",-,-,-,-
Creality,8.3,-,-,-,"[:material-shopping:](https://alli.pub/7akebg?erid=2SDnjd2wm4j ""AliExpress""){ target=""_blank"" }",-,-,-,-
3D-Club,8.2,-,-,-,-,"[:material-web:](https://3d-club.ru/product/tpu-%d1%88%d0%be%d1%80-%d0%b452/  ""3d-club.ru""){ target=""_blank"" }","[:material-web:](https://3d-club.ru/product/tpu-shor-d60-black/ ""3d-club.ru""){ target=""_blank"" }","[:material-web:](https://3d-club.ru/product/tpu-%d1%88%d0%be%d1%80-%d0%b470-%d1%87%d0%b5%d1%80%d0%bd%d1%8b%d0%b9/ ""3d-club.ru""){ target=""_blank"" }",-
Geeetech,8.1,-,-,-,"[:material-shopping:](https://alli.pub/7akee6?erid=2SDnjdyoJVV ""AliExpress""){ target=""_blank"" }",-,-,-,-
Filamentarno,7.6,-,-,-,"[:material-web:](https://www.filamentarno.ru/id=227 ""filamentarno.ru<br>TPU A93""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=242 ""filamentarno.ru<br>TPU A95""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/tpu-a93-belyy-750-g-1-75-mm-plastik-filamentarno-dlya-3d-printera-1564255798/ ""Ozon<br>TPU A93""){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/tpu-a95-chernyy-750-g-1-75-mm-plastik-filamentarno-dlya-3d-printera-936581683/ ""Ozon<br>TPU A95""){ target=""_blank"" }",-,-,-,-
