Производитель,ПР,ABS-PC,PC,PCTG,POM,PP,PA12,PA6,Другие PA,Другое
Bambu Lab,9.3,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pc-artikul-white-60100-plastik-na-katushke-1708747357){ target=""_blank"" }",-,-,-,-,-,-,-
Novaprint,9.0,"[:material-web:](https://novaprint3d.ru/nova_coax#!/tproduct/257297854-1497456130776){ target=""_blank"" }",-,-,-,"[:material-web:](https://novaprint3d.ru/nova_ppgf#prodpopup#!/tproduct/254698105-1647255148753){ target=""_blank"" }",-,-,-,-
Eryone,9.1,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-dlya-3d-pechati-eryone-pc-abs-white-2481573629/ ""PC/ABS""){ target=""_blank"" }",-,-,-,-,-,-,-,-
ESUN,8.9,-,"[:material-web:](https://www.esun3d.com/pc-ht-product/ ""PC-HT""){ target=""_blank"" }[^1]",-,-,-,"[:material-shopping:](https://alli.pub/7ak4jp?erid=2SDnjdoAcL7){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak4kh?erid=2SDnje9vSGw){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ak9xk?erid=2SDnjcpz9d9 ""PET""){ target=""_blank"" }"
SUNLU,8.8,"[:material-web:](https://www.sunlu.com/products/pc-abs-3d-printer-filament-high-performance-3d-filament-1kg ""PC-ABS""){ target=""_blank"" }[^1]","[:material-web:](https://www.sunlu.com/products/sunlu-pc-polycarbonate-3d-printer-filament-1kg){ target=_""blank"" }[^1]",-,-,"[:material-web:](https://www.sunlu.com/products/sunlu-pp-polypropylene-3d-printer-filament-800g){ target=""_blank"" }",-,-,"[:material-web:](https://www.sunlu.com/products/moq-6-easy-nylone-pa-3d-printer-filament-1kg ""Easy PA""){ target=""_blank"" }[^1]",-
FDPlast,8.8,-,-,-,-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9101/){ target=""_blank"" }",-,-,-
FusRock,8.8,"[:material-web:](https://www.fusrock.com/index.php/pc-abs/){ target=""_blank"" }[^1]","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/pc-fr-plastik-fusrock-ognestoykiy-chernyy-1-75-mm-1-kg-2898995142/?at=lRt6xVq1Li98OopmTygnLREsxZRrXAH6g5G47IY78Ln7 ""PC-FR""){ target=""_blank"" }",-,-,-,-,-,"[:material-web:](https://www.fusrock.com/index.php/paht/ ""PAHT""){ target=""_blank"" }[^1]",-
KINGROON,8.7,-,-,-,-,-,-,-,"[:material-web:](https://kingroon.com/products/kingroon-pa-nylon-basic-3d-printer-filament ""PA Basic""){ target=""_blank"" }[^1]",-
3D-Club,8.2,"[:material-web:](https://3d-club.ru/product/abs-pc/){ target=""_blank"" }",-,"[:material-web:](https://3d-club.ru/product-category/filament/pctg/){ target=""_blank"" }","[:material-web:](https://3d-club.ru/product/pom-filament-pom/){ target=""_blank"" }","[:material-web:](https://3d-club.ru/product/pp-filament-polipropilen/){ target=""_blank"" }",-,"[:material-web:](https://3d-club.ru/product/nylon-pa6-e-black/ ""PA6-Э""){ target=""_blank"" }",-,"[:material-web:](https://3d-club.ru/product/ppo-filament/ ""PPO/PPE""){ target=""_blank"" }"
Filamentarno,7.6,-,-,-,-,-,"[:material-web:](https://www.filamentarno.ru/id=264){ target=""_blank"" }","[:material-web:](https://www.filamentarno.ru/id=280){ target=""_blank"" }",-,"[:material-web:](https://www.filamentarno.ru/id=298 ""ABS/PA""){ target=""_blank"" }<br>[:material-web:](https://www.filamentarno.ru/id=42 ""SAN""){ target=""_blank"" }"
ATECO,7.5,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/billuron-nat-pc-ateco-polikarbonat-plastik-dlya-3d-pechati-1-75-mm-oranzhevyy-750-gr-2897381595/){ target=""_blank"" }",-,-,-,-,-,-,-
