Производитель,ПР,PLA,PLA HF,PLA mod,PETG,PETG HF,ABS,ABS HF,ABS mod,ASA,ASA mod,HIPS,SBS
Bambu Lab,9.3,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-pla-basic-plastika-bambu-lab-1-75-mm-1kg-sine-seryy-2345977228){ target=""_blank"" }",-,-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-petg-hf-gray-33101-bambu-lab-na-katushke-1716236350/){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/abs-plastik-bez-katushki-dlya-3d-printera-bambu-lab-silver-serebryanyy-40102-2037999749/){ target=""_blank"" }",-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-asa-black-45101-bambu-lab-na-katushke-1686577058){ target=""_blank"" }",-,-,-
Elegoo / Deeplee,9.3,-,-,-,"[:material-shopping:](https://alli.pub/7ajsp3?erid=2SDnjdXFvP9){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajspv?erid=2SDnje8qd9R){ target=""_blank"" }",-,-,-,"[:material-shopping:](https://alli.pub/7ajsq9?erid=2SDnjesqGKR){ target=""_blank"" }",-,-,-
Eryone,9.1,"[:material-shopping:](https://alli.pub/7ajswv?erid=2SDnjebXjhZ){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajt6e?erid=2SDnjcXUkmD){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajt4u?erid=2SDnjbrw5SF){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajt7y?erid=2SDnjd38WQ7){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajsxu?erid=2SDnjevoaN3){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak8ou?erid=2SDnjdsixKq){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajsxu?erid=2SDnjevoaN3){ target=""_blank"" }",-,-,-
ESUN,8.9,"[:material-shopping:](https://alli.pub/7ajtd0?erid=2SDnjc6HJTH){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajter?erid=2SDnjcT38Q7){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajtd7?erid=2SDnjcFBE9M){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajti9?erid=2SDnjczAsKM){ target=""_blank"" }",-,-,-,"[:material-shopping:](https://alli.pub/7ajtj8?erid=2SDnjdRNf7D){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajtin?erid=2SDnjdGUjR9){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajtiu?erid=2SDnjdNQgYX){ target=""_blank"" }",-,-
SUNLU,8.8,"[:material-shopping:](https://alli.pub/7ajtmq?erid=2SDnjcJtXuZ){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajtly?erid=2SDnjbveigP){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-plastika-sunlu-pla-1kg-belyy-white-1774723437/){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajtkz?erid=2SDnjeuMwTD){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastikovaya-nit-katushka-sunlu-petg-1kg-belyy-white-1774723453/){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajtni?erid=2SDnjco4JG7){ target=""_blank"" } [:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/sunlu-abs-plastik-dlya-3d-printera-1kg-belyy-white-1777223979/){ target=""_blank"" }",-,-,-,-,-,-
FDPlast,8.8,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=15){ target=""_blank"" }",-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=32){ target=""_blank"" }",-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=14){ target=""_blank"" }",-,-,-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=16){ target=""_blank"" }","[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/?filtersData[cats]=25){ target=""_blank"" }"
FusRock,8.8,-,-,-,-,-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-abs-hf-hi-speed-vysokoskorostnoy-plastika-fusrock-1-75-mm-1-kg-chernyy-1716987467/?at=46tRgDAzrtoZ1jxZIRNVlMguB0PvW4H28q6lqFnln4GP){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ajttq?erid=2SDnjdZYGCP){ target=""_blank"" }",-,-,-
KINGROON,8.7,"[:material-shopping:](https://alli.pub/7ajtzr?erid=2SDnjcch4FZ){ target=""_blank"" }",-,-,"[:material-shopping:](https://alli.pub/7aju1p?erid=2SDnjd5NqKm){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7aju2o?erid=2SDnjdHEjaX){ target=""_blank"" }",-,-,"[:material-shopping:](https://alli.pub/7aju2v?erid=2SDnjdMghRZ){ target=""_blank"" }",-,-,-
Cre:material-shopping:ty,8.3,-,"[:material-shopping:](https://alli.pub/7aju4m?erid=2SDnjeE6H1H){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7aju66?erid=2SDnjemE1vX){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aju5e?erid=2SDnjeTSAYP){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aju8w?erid=2SDnjcMsWv3){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aju6d?erid=2SDnjev7wcb){ target=""_blank"" }",-,-,-,-,-
Anycubic,8.2,"[:material-shopping:](https://alli.pub/7aju9a?erid=2SDnjceBP1q){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajuce?erid=2SDnje8AfMq){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ajuag?erid=2SDnjdFm5n7){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aju9h?erid=2SDnjcmbKRZ){ target=""_blank"" }",-,-,-,-,-,-,-,-
