" "            , Пенящийся                                                                                                                                                                                     , Поддержки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , Выжигаемый /<br>Выплавляемый                                                                                                                                                                                             , Самозатухающий                                                                                                                  , Токопроводящий                                                                                                                                                                                                                                                        , Другое
"ESUN"         , "[PLA LW](https://alli.pub/721nol?erid=2SDnjdwyddk){ .filamentName target=""_blank"" }"                                                                                                       , -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , -                                                                                                                                                                                                                        , -                                                                                                                               , -                                                                                                                                                                                                                                                                     , "[TPU A95 антибактериальный](https://alli.pub/7232vj?erid=2SDnjcybFV5){ .filamentName target=""_blank"" }"
"3D-Club"      , -                                                                                                                                                                                             , [PVA](https://3d-club.ru/product/pva-filament/){ .filamentName target=“_blank“ }                                                                                                                                                                                                                                                                                                                                                                                                                                                          , "[PMMA](https://3d-club.ru/product/pmma-akril-prozrachnyj/){ .filamentName target=""_blank"" }"                                                                                                                          , "[ABS/PC](https://3d-club.ru/product/abs-pc/){ .filamentName target=""_blank"" }"                                               , -                                                                                                                                                                                                                                                                     , -
"Bambu Lab"    , "[PLA LW](https://eu.store.bambulab.com/products/pla-aero){ .filamentName target=""_blank"" }<br>[ASA LW](https://eu.store.bambulab.com/products/asa-aero){ .filamentName target=""_blank"" }", "[PVA](https://eu.store.bambulab.com/products/pva){ .filamentName target=""_blank"" }<br>[для PLA/PETG](https://eu.store.bambulab.com/products/support-for-pla-petg){ .filamentName target=""_blank"" }<br>[для ABS](https://eu.store.bambulab.com/products/support-for-abs){ .filamentName target=""_blank"" }<br>[для PA/PET](https://eu.store.bambulab.com/products/support-for-pa-pet){ .filamentName target=""_blank"" }<br>[для PLA](https://eu.store.bambulab.com/products/support-for-pla-new){ .filamentName target=""_blank"" }", -                                                                                                                                                                                                                        , -                                                                                                                               , -                                                                                                                                                                                                                                                                     , -
"Filamentarno" , "[SAN LW](https://www.filamentarno.ru/id=31){ .filamentName target=""_blank"" }<br>[SAN LW CF](https://www.filamentarno.ru/id=61){ .filamentName target=""_blank"" }"                         , -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "[WAX](https://www.filamentarno.ru/id=64){ .filamentName target=""_blank"" }"                                                                                                                                            , -                                                                                                                               , -                                                                                                                                                                                                                                                                     , -
"Bestfilament" , -                                                                                                                                                                                             , [PVA](https://bestfilament.ru/vodorastvorimyy-pva-plastik-bestfilament-dlya-3d-printerov-05-kg-175-mm/){ .filamentName target=“_blank“ }                                                                                                                                                                                                                                                                                                                                                                                                  , -                                                                                                                                                                                                                        , "[ABS/PC](https://bestfilament.ru/pcabs-plastik-bestfilament-dlya-3d-printerov-1-kg-175-mm/){ .filamentName target=""_blank"" }", -                                                                                                                                                                                                                                                                     , -
"Print Product", -                                                                                                                                                                                             , -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , -                                                                                                                                                                                                                        , "[ABS V-0](https://printproduct3d.ru/categories/abs-v-0){ .filamentName target=""_blank"" }"                                    , -                                                                                                                                                                                                                                                                     , -
"Syntech"      , -                                                                                                                                                                                             , -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , -                                                                                                                                                                                                                        , "[ABS-E](https://syntechlab.ru/store/abs-e/){ .filamentName target=""_blank"" }"                                                , -                                                                                                                                                                                                                                                                     , -
"U3Print"      , -                                                                                                                                                                                             , [PVA](https://u3print.com/plastik-dlya-3d-printera/type/pva-vodorastvorimyj){ .filamentName target=“_blank“ }                                                                                                                                                                                                                                                                                                                                                                                                                             , -                                                                                                                                                                                                                        , -                                                                                                                               , "[ABS CNT](https://u3print.com/plastik-dlya-3d-printera/u3-abs-conductive-2m-tokoprovodyaschij){ .filamentName target=""_blank"" }<br>[TPU CNT](https://u3print.com/plastik-dlya-3d-printera/u3-flex-conductive-tokoprovodyaschij){ .filamentName target=""_blank"" }", "[ABS электрорассеивающий](https://u3print.com/plastik-dlya-3d-printera/u3-abs-dissipative-elektrorasseivayuschij){ .filamentName target=""_blank"" }"
"Rec"          , -                                                                                                                                                                                             , [PVA](https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=47){ .filamentName target=“_blank“ }                                                                                                                                                                                                                                                                                                                                                                                                                             , [PMMA](https://rec3d.ru/plastik-dlya-3d-printerov/all-plastic/?material[]=45){ .filamentName target=“_blank“ }                                                                                                           , -                                                                                                                               , -                                                                                                                                                                                                                                                                     , -
"LIDER-3D"     , -                                                                                                                                                                                             , [PVA](https://lider-3d.ru/catalog/materialy/plastik_dlya_3d_printerov/filter/brend-is-bcbc9108-6d3f-11eb-ab45-0cc47ab29c0f/tip_plastika-is-5dac8344-aff1-11ea-9192-fa163eade4ae/apply/){ .filamentName target=“_blank“ }                                                                                                                                                                                                                                                                                                                  , [PMMA](https://lider-3d.ru/catalog/materialy/plastik_dlya_3d_printerov/filter/brend-is-bcbc9108-6d3f-11eb-ab45-0cc47ab29c0f/tip_plastika-is-59bb70e4-b148-11ea-9a9c-fa163eade4ae/apply/){ .filamentName target=“_blank“ }, -                                                                                                                               , -                                                                                                                                                                                                                                                                     , -
